Parameters vs Time
Line A: Structure Forces, Total Force/Moment - Global X (floater) [N]

*Time (s);Line A (N)
51.1;572942.6875
51.2;565235.375
51.3;557262.1875
51.4;549041.75
51.5;540589.75
51.6;531927.5
51.7;523085.71875
51.8;514096.34375
51.9;504996.125
52;495829.84375
52.1;486642.59375
52.2;477488.96875
52.3;468429.6875
52.4;459522.46875
52.5;450836.8125
52.6;442446.59375
52.7;434426.5625
52.8;426856.40625
52.9;419819.59375
53;413401.25
53.1;407680.3125
53.2;402748.125
53.3;398683.90625
53.4;395565.875
53.5;393467.34375
53.6;392456.9375
53.7;392593.65625
53.8;393925.1875
53.9;396489.03125
54;400305.78125
54.1;405389.5
54.2;411729.4375
54.3;419307.1875
54.4;428077.3125
54.5;437986.8125
54.6;448965.3125
54.7;460916.15625
54.8;473738.875
54.9;487309.125
55;501496
55.1;516161.28125
55.2;531146.375
55.3;546297.75
55.4;561456.125
55.5;576457.5625
55.6;591150
55.7;605376.5625
55.8;618999.125
55.9;631884.375
56;643916.75
56.1;654993.5
56.2;665032.625
56.3;673968.75
56.4;681765.6875
56.5;688403.1875
56.6;693878.8125
56.7;698215.8125
56.8;701456.375
56.9;703667
57;704917.1875
57.1;705306.1875
57.2;704937.25
57.3;703921.1875
57.4;702381.1875
57.5;700435.1875
57.6;698201.9375
57.7;695800.625
57.8;693334
57.9;690897.6875
58;688576.5
58.1;686436.4375
58.2;684521.375
58.3;682866
58.4;681474.0625
58.5;680331
58.6;679408.0625
58.7;678648.8125
58.8;677987.375
58.9;677328.5
59;676574.25
59.1;675614.125
59.2;674326.25
59.3;672587.0625
59.4;670270
59.5;667254.0625
59.6;663421.9375
59.7;658669.625
59.8;652909.625
59.9;646059.9375
60;638069.8125
60.1;628900.4375
60.2;618545.75
60.3;607013.875
60.4;594344.5
60.5;580595.0625
60.6;565853.125
60.7;550219.625
60.8;533824.375
60.9;516805.65625
61;499320.375
61.1;481535.21875
61.2;463619.8125
61.3;445752.59375
61.4;428104.34375
61.5;410844.65625
61.6;394130.21875
61.7;378106.75
61.8;362902.09375
61.9;348625.5
62;335362.71875
62.1;323177.21875
62.2;312109.15625
62.3;302165.53125
62.4;293334.09375
62.5;285576.375
62.6;278829.03125
62.7;273004.71875
62.8;267999.46875
62.9;263692.46875
63;259948.765625
63.1;256626.578125
63.2;253575.40625
63.3;250646.53125
63.4;247689.5625
63.5;244567.53125
63.6;241151.71875
63.7;237324.078125
63.8;232986.5625
63.9;228063.875
64;222499.59375
64.1;216260.859375
64.2;209339.921875
64.3;201753.875
64.4;193547.3125
64.5;184780.84375
64.6;175543.8125
64.7;165939.390625
64.8;156092.375
64.9;146141.6875
65;136228.46875
65.1;126508.8515625
65.2;117136.015625
65.3;108266.0546875
65.4;100050.8515625
65.5;92629.078125
65.6;86126.2734375
65.7;80657.9375
65.8;76322.234375
65.9;73191.421875
66;71324.109375
66.1;70752.53125
66.2;71484.1875
66.3;73508.71875
66.4;76789.1953125
66.5;81271.3046875
66.6;86880.6953125
66.7;93529.328125
66.8;101108.5234375
66.9;109504.4765625
67;118593.625
67.1;128247.171875
67.2;138335.5
67.3;148729.28125
67.4;159303.3125
67.5;169939.28125
67.6;180534.0625
67.7;190987.109375
67.8;201217.796875
67.9;211157.4375
68;220751.71875
68.1;229963.5
68.2;238769.046875
68.3;247159.5
68.4;255138.28125
68.5;262721.09375
68.6;269929.78125
68.7;276795.625
68.8;283356.59375
68.9;289650.1875
69;295712.84375
69.1;301580.84375
69.2;307283.09375
69.3;312845.65625
69.4;318277.84375
69.5;323586.21875
69.6;328764.03125
69.7;333793.125
69.8;338639.71875
69.9;343262.84375
70;347608.3125
70.1;351614.96875
70.2;355211.09375
70.3;358322.5
70.4;360864.84375
70.5;362760.125
70.6;363929.03125
70.7;364295.46875
70.8;363792.34375
70.9;362361.34375
71;359955.875
71.1;356548.40625
71.2;352120.6875
71.3;346676.15625
71.4;340240.5625
71.5;332853.1875
71.6;324577.6875
71.7;315491.59375
71.8;305697.0625
71.9;295310.8125
72;284461.625
72.1;273293.5625
72.2;261953.75
72.3;250610.25
72.4;239422.21875
72.5;228549.5625
72.6;218153.28125
72.7;208381.59375
72.8;199379.53125
72.9;191273.15625
73;184171.578125
73.1;178163.734375
73.2;173323.75
73.3;169697.109375
73.4;167304.09375
73.5;166145.96875
73.6;166196.21875
73.7;167402.78125
73.8;169696.765625
73.9;172979.5
74;177140.78125
74.1;182051
74.2;187569.125
74.3;193538.09375
74.4;199800.03125
74.5;206194.90625
74.6;212555.375
74.7;218727.90625
74.8;224557.296875
74.9;229906.34375
75;234644.65625
75.1;238666.53125
75.2;241872.46875
75.3;244191.828125
75.4;245575.046875
75.5;245988.109375
75.6;245425.40625
75.7;243898.28125
75.8;241438.96875
75.9;238105.296875
76;233962.453125
76.1;229096.8125
76.2;223606.90625
76.3;217605.078125
76.4;211205.328125
76.5;204527.453125
76.6;197697.015625
76.7;190833.65625
76.8;184056.265625
76.9;177474.59375
77;171189.375
77.1;165294.640625
77.2;159868.296875
77.3;154974.140625
77.4;150663.390625
77.5;146969.875
77.6;143911.921875
77.7;141491.78125
77.8;139703.609375
77.9;138518.09375
78;137899.484375
78.1;137802.21875
78.2;138164.09375
78.3;138925.640625
78.4;140015.109375
78.5;141358.5
78.6;142883.171875
78.7;144512.96875
78.8;146177.21875
78.9;147807.8125
79;149343.03125
79.1;150727.21875
79.2;151913.71875
79.3;152858.703125
79.4;153536.140625
79.5;153922.84375
79.6;154008.890625
79.7;153786.78125
79.8;153264.203125
79.9;152453.65625
80;151374
80.1;150049.34375
80.2;148513.921875
80.3;146797.796875
80.4;144938.375
80.5;142974.625
80.6;140942.375
80.7;138880.140625
80.8;136824.921875
80.9;134806.5
81;132858.203125
81.1;131004.6328125
81.2;129270.0390625
81.3;127671.5
81.4;126221.921875
81.5;124930.34375
81.6;123802.765625
81.7;122838.9765625
81.8;122037.21875
81.9;121389.7265625
82;120887.09375
82.1;120517.578125
82.2;120265.1640625
82.3;120117.046875
82.4;120054.671875
82.5;120060.390625
82.6;120113.9296875
82.7;120200.7109375
82.8;120299.6171875
82.9;120393
83;120463.359375
83.1;120493.2890625
83.2;120466.6015625
83.3;120367.3203125
83.4;120182.609375
83.5;119897.78125
83.6;119497.6796875
83.7;118972.59375
83.8;118310.59375
83.9;117502.4375
84;116538.734375
84.1;115414.1875
84.2;114122.8984375
84.3;112662.921875
84.4;111032.015625
84.5;109233.84375
84.6;107274.984375
84.7;105158.828125
84.8;102900.9921875
84.9;100517.1640625
85;98025.4296875
85.1;95447.6796875
85.2;92812.6171875
85.3;90149.6015625
85.4;87493.1796875
85.5;84879.421875
85.6;82347.828125
85.7;79938.3125
85.8;77693.109375
85.9;75655.6875
86;73866.0703125
86.1;72364.3125
86.2;71186.2890625
86.3;70365.8203125
86.4;69929.84375
86.5;69900.6796875
86.6;70293.15625
86.7;71114.015625
86.8;72362.2890625
86.9;74028.78125
87;76091.703125
87.1;78525.96875
87.2;81290.359375
87.3;84341.5625
87.4;87623.1796875
87.5;91073.75
87.6;94626.7421875
87.7;98208.296875
87.8;101743.859375
87.9;105155.8828125
88;108366.9296875
88.1;111302.0078125
88.2;113891.9609375
88.3;116069.78125
88.4;117781.0703125
88.5;118976.3046875
88.6;119618.6015625
88.7;119685.6953125
88.8;119165.96875
88.9;118062.3671875
89;116392.765625
89.1;114191.125
89.2;111502.6171875
89.3;108389.46875
89.4;104925.6015625
89.5;101195.3828125
89.6;97292.2578125
89.7;93320.8125
89.8;89387.9375
89.9;85606.3203125
90;82088.9765625
90.1;78945.0390625
90.2;76280.5546875
90.3;74197.1328125
90.4;72781.984375
90.5;72115.171875
90.6;72263.140625
90.7;73274.703125
90.8;75183.34375
90.9;78008.0390625
91;81744.5390625
91.1;86375.40625
91.2;91867.109375
91.3;98163.9375
91.4;105198.0234375
91.5;112890.8515625
91.6;121148.9765625
91.7;129868.5
91.8;138942.46875
91.9;148258.609375
92;157701.578125
92.1;167160
92.2;176527.234375
92.3;185701.015625
92.4;194591.890625
92.5;203120.65625
92.6;211218.484375
92.7;218837.75
92.8;225942.75
92.9;232513.296875
93;238550.40625
93.1;244064.625
93.2;249086.90625
93.3;253657.78125
93.4;257835.90625
93.5;261678.25
93.6;265265.4375
93.7;268667.28125
93.8;271961.1875
93.9;275227.5625
94;278533.46875
94.1;281943.375
94.2;285515.96875
94.3;289291.46875
94.4;293297.8125
94.5;297542.5
94.6;302028.84375
94.7;306728.9375
94.8;311595.5
94.9;316583.4375
95;321609.71875
95.1;326581.03125
95.2;331404.15625
95.3;335958.96875
95.4;340134.15625
95.5;343799.40625
95.6;346838.53125
95.7;349126.8125
95.8;350560.5625
95.9;351037.875
96;350475.6875
96.1;348812.75
96.2;346003
96.3;342033.9375
96.4;336914.75
96.5;330686.40625
96.6;323416.90625
96.7;315206.03125
96.8;306183
96.9;296504.28125
97;286354.125
97.1;275944.65625
97.2;265496.125
97.3;255253.375
97.4;245485.59375
97.5;236444.3125
97.6;228400.8125
97.7;221620.4375
97.8;216359.8125
97.9;212858.46875
98;211343.09375
98.1;212014.140625
98.2;215038.5
98.3;220562.5625
98.4;228686
98.5;239482.265625
98.6;252968.671875
98.7;269143.28125
98.8;287940.21875
98.9;309264.5
99;332982.25
99.1;358918.46875
99.2;386870.40625
99.3;416592.78125
99.4;447829.125
99.5;480284.90625
99.6;513656.75
99.7;547639.3125
99.8;581902.625
99.9;616128.125
100;650002.4375
100.1;683225.375
100.2;715510.625
100.3;746584.3125
100.4;776210.875
100.5;804188.4375
100.6;830313.0625
100.7;854458.875
100.8;876489.5625
100.9;896350.75
101;913994.6875
101.1;929406.3125
101.2;942621.3125
101.3;953689
101.4;962700.6875
101.5;969761.375
101.6;975004.25
101.7;978577
101.8;980636.0625
101.9;981350.5
102;980892.875
102.1;979424.0625
102.2;977123.75
102.3;974138.875
102.4;970615.75
102.5;966686.375
102.6;962465.9375
102.7;958028.875
102.8;953468.8125
102.9;948825.1875
103;944128.9375
103.1;939380.625
103.2;934578
103.3;929687.875
103.4;924653.625
103.5;919421.875
103.6;913923.75
103.7;908065.5625
103.8;901771.3125
103.9;894949.75
104;887514.5625
104.1;879381.3125
104.2;870480.4375
104.3;860751.4375
104.4;850136.9375
104.5;838610.3125
104.6;826150.1875
104.7;812756.0625
104.8;798458.75
104.9;783294.875
105;767327.6875
105.1;750630.9375
105.2;733316.1875
105.3;715493.0625
105.4;697298.125
105.5;678885.25
105.6;660401.6875
105.7;642013.375
105.8;623900.75
105.9;606235.5
106;589195.0625
106.1;572955.375
106.2;557674.875
106.3;543522.1875
106.4;530639.875
106.5;519168.0625
106.6;509219.875
106.7;500909.40625
106.8;494307.09375
106.9;489483.46875
107;486485.9375
107.1;485335.5
107.2;486026.4375
107.3;488546.21875
107.4;492857.375
107.5;498892.125
107.6;506584.53125
107.7;515833.03125
107.8;526529.625
107.9;538559.375
108;551780.6875
108.1;566058.5625
108.2;581244.3125
108.3;597192.125
108.4;613742.625
108.5;630750.25
108.6;648071.4375
108.7;665563.875
108.8;683098.9375
108.9;700552.25
109;717819.75
109.1;734819.1875
109.2;751459.625
109.3;767693.25
109.4;783477.8125
109.5;798791.375
109.6;813632.0625
109.7;828025.375
109.8;842014
109.9;855648.875
110;869005.375
110.1;882175.9375
110.2;895275.4375
110.3;908414.375
110.4;921733.125
110.5;935355.0625
110.6;949431.9375
110.7;964106.25
110.8;979524.3125
110.9;995810.875
111;1013123.0625
111.1;1031553.5
111.2;1051212.625
111.3;1072192.625
111.4;1094559.625
111.5;1118343.375
111.6;1143569
111.7;1170228.875
111.8;1198269.5
111.9;1227633.375
112;1258211.375
112.1;1289874.25
112.2;1322471.25
112.3;1355790.125
112.4;1389625.875
112.5;1423745.625
112.6;1457883.75
112.7;1491763.375
112.8;1525095.125
112.9;1557569.625
113;1588888
113.1;1618745.75
113.2;1646844.5
113.3;1672887.875
113.4;1696610.875
113.5;1717763.375
113.6;1736108.5
113.7;1751452.625
113.8;1763621.5
113.9;1772488
114;1777964.5
114.1;1779990.5
114.2;1778551
114.3;1773674.375
114.4;1765435.875
114.5;1753930.75
114.6;1739315.125
114.7;1721752.75
114.8;1701462.125
114.9;1678672
115;1653643.125
115.1;1626639.25
115.2;1597948.125
115.3;1567859.5
115.4;1536647.875
115.5;1504604.25
115.6;1472011.875
115.7;1439097.125
115.8;1406112.875
115.9;1373265.375
116;1340728
116.1;1308651
116.2;1277157.875
116.3;1246343.625
116.4;1216234.5
116.5;1186860.625
116.6;1158212.375
116.7;1130242
116.8;1102888.375
116.9;1076073.625
117;1049675
117.1;1023599.6875
117.2;997699.8125
117.3;971883.375
117.4;946011.375
117.5;919996.1875
117.6;893727.0625
117.7;867142.75
117.8;840193.5
117.9;812860.75
118;785146.75
118.1;757106.1875
118.2;728806.9375
118.3;700358.25
118.4;671902.5
118.5;643623.5625
118.6;615704.1875
118.7;588374.4375
118.8;561880.3125
118.9;536483.0625
119;512450.96875
119.1;490052.40625
119.2;469554.75
119.3;451215.09375
119.4;435278.03125
119.5;421958.125
119.6;411451.8125
119.7;403906.59375
119.8;399449.09375
119.9;398146.71875
120;400035.03125
120.1;405095.25
120.2;413266.5
120.3;424426.21875
120.4;438424.125
120.5;455046.53125
120.6;474056.90625
120.7;495168.03125
120.8;518064
120.9;542408.5625
121;567839.5
121.1;593991.3125
121.2;620487.0625
121.3;646953.3125
121.4;673023.3125
121.5;698354.8125
121.6;722630.6875
121.7;745552.6875
121.8;766873.75
121.9;786375.0625
122;803881.4375
122.1;819277.6875
122.2;832487.0625
122.3;843483.125
122.4;852279.5
122.5;858959.25
122.6;863629.75
122.7;866441.125
122.8;867590.3125
122.9;867294.125
123;865796.6875
123.1;863354.6875
123.2;860257.9375
123.3;856765
123.4;853161.5625
123.5;849711.8125
123.6;846673.625
123.7;844268.1875
123.8;842701.125
123.9;842143.5
124;842744.375
124.1;844604.625
124.2;847777.125
124.3;852291
124.4;858143.0625
124.5;865276.875
124.6;873602.6875
124.7;883012.0625
124.8;893351.5625
124.9;904463.1875
125;916153.9375
125.1;928221.875
125.2;940460.25
125.3;952656.375
125.4;964615.9375
125.5;976120.5
125.6;986999.0625
125.7;997082.9375
125.8;1006220.625
125.9;1014302.0625
126;1021219.6875
126.1;1026921.8125
126.2;1031369.125
126.3;1034560.3125
126.4;1036517.3125
126.5;1037295
126.6;1036970.6875
126.7;1035652.0625
126.8;1033449.125
126.9;1030506.0625
127;1026964.8125
127.1;1022996.8125
127.2;1018741.6875
127.3;1014374
127.4;1010043
127.5;1005893.375
127.6;1002048.9375
127.7;998646.5
127.8;995769.0625
127.9;993500.875
128;991905.875
128.10001;991019.5625
128.2;990859.4375
128.3;991420.9375
128.40001;992679.1875
128.5;994583.375
128.60001;997090
128.7;1000104.0625
128.8;1003549.125
128.90001;1007332.9375
129;1011347.625
129.10001;1015479.1875
129.2;1019628
129.3;1023695
129.40001;1027560.3125
129.5;1031148.8125
129.60001;1034346.25
129.7;1037094.5
129.8;1039311.5
129.90001;1040935.5625
130;1041919.4375
130.10001;1042233.5
130.2;1041827.375
130.3;1040694.375
130.40001;1038813.5
130.5;1036187.625
130.60001;1032796.25
130.7;1028664.0625
130.8;1023781.9375
130.90001;1018156.8125
131;1011796.1875
131.10001;1004705.9375
131.2;996904.0625
131.3;988378.4375
131.40001;979142.5625
131.5;969203.25
131.60001;958562.3125
131.7;947218.375
131.8;935193.5625
131.90001;922489.25
132;909131
132.10001;895137.1875
132.2;880550.375
132.3;865413.8125
132.40001;849778.25
132.5;833716
132.60001;817305.8125
132.7;800647.25
132.8;783855.1875
132.90001;767057.5
133;750389.125
133.10001;733992.1875
133.2;718045.25
133.3;702694
133.40001;688122.9375
133.5;674507.375
133.60001;662009.625
133.7;650811.75
133.8;641054.5
133.90001;632894.75
134;626453.4375
134.10001;621846.3125
134.2;619157.375
134.3;618439.9375
134.40001;619724.4375
134.5;623015.4375
134.60001;628276.3125
134.7;635450.5625
134.8;644435.375
134.90001;655117.9375
135;667335.3125
135.10001;680907.4375
135.2;695635.25
135.3;711293.8125
135.40001;727655.3125
135.5;744478.9375
135.60001;761499.1875
135.7;778481.1875
135.8;795176.25
135.90001;811369
136;826827.5625
136.10001;841371.5
136.2;854821.6875
136.3;867058.125
136.40001;877966.6875
136.5;887483
136.60001;895558.375
136.7;902207
136.8;907450.625
136.90001;911360
137;914036.5
137.10001;915594.375
137.2;916184.1875
137.3;915968.5625
137.40001;915126.4375
137.5;913835.125
137.60001;912283.9375
137.7;910647.8125
137.8;909098.3125
137.90001;907780.25
138;906822.5
138.10001;906337.9375
138.2;906387.75
138.3;907017.8125
138.40001;908241.4375
138.5;910014.375
138.60001;912277.6875
138.7;914925.4375
138.8;917831.25
138.90001;920841.3125
139;923753.875
139.10001;926366.625
139.2;928465.4375
139.3;929823.8125
139.40001;930207.0625
139.5;929396.1875
139.60001;927190.5
139.7;923394.125
139.8;917845.6875
139.90001;910413.8125
140;901006.8125
140.10001;889567.75
140.2;876091.875
140.3;860615.5
140.40001;843217.1875
140.5;824033.125
140.60001;803235.4375
140.7;781045.375
140.8;757708.25
140.90001;733513.75
141;708770.75
141.10001;683806.5625
141.2;658970.0625
141.3;634587.9375
141.40001;611006.8125
141.5;588546.875
141.60001;567503.4375
141.7;548145.6875
141.8;530700.625
141.90001;515364.96875
142;502262.65625
142.10001;491482.09375
142.2;483058.53125
142.3;476955.375
142.40001;473086.125
142.5;471308.65625
142.60001;471428.78125
142.7;473207.5
142.8;476358.9375
142.90001;480570.96875
143;485489.625
143.10001;490758.4375
143.2;496000.03125
143.3;500851.9375
143.40001;504945.09375
143.5;507941.0625
143.60001;509547.5
143.7;509477.15625
143.8;507512.03125
143.90001;503480.28125
144;497280.28125
144.10001;488848.28125
144.2;478205.5
144.3;465434.0625
144.40001;450675.25
144.5;434141.25
144.60001;416085.28125
144.7;396831.53125
144.8;376741.5
144.90001;356200.40625
145;335647.6875
145.10001;315514.78125
145.2;296252.9375
145.3;278301.125
145.40001;262093.125
145.5;248024.375
